Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor
30921;155 625 713;A01;1;34;0;2;1;2;1
30921;155 625 714;B01;1;7;0;2;4;2;2
30918;155 625 717;A01;2;7;2;0;1;2;1
30848;155 625 840;A01;2;33;6;0;1;26;1
30783;155 625 947;B01;2;7;0;2;1;1;1
30783;155 625 950;A01;1;7;13;2;5;26;1
30687;155 626 146;A01;1;10;0;1;2;1;1
30685;155 626 147;B01;1;1;0;2;8;0;5
30686;155 626 148;A01;2;7;0;0;4;15;1
30685;155 626 149;A01;2;7;0;2;3;15;1
30686;155 626 151;B01;2;7;0;0;1;1;1
30441;155 626 561;B01;0;50;0;2;8;0;3
30441;155 626 564;A01;0;7;0;2;1;2;0
30437;155 626 570;A01;3;7;0;2;1;1;1
30437;155 626 573;B01;3;7;0;2;1;1;2
30413;155 626 608;B01;3;7;0;2;4;0;1
30413;155 626 611;Z01;3;7;0;2;1;0;1
30316;155 626 779;A01;1;7;0;2;2;0;1
30316;155 626 781;B01;1;7;3;0;4;0;1
30268;155 626 858;C01;1;7;0;0;3;23;1
